"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that a user can be deleted successfully","7812","test_positive_delete_created_user","tests","Sun Jul 13 05:16:06 GMT 2025","passed","Sun Jul 13 05:16:14 GMT 2025","TestUserDelete","test_user_delete","",""
"This test verifies the retrieval of user details after authenticating as that user","1875","test_get_user_details_auth_as_same_user","tests","Sun Jul 13 05:16:38 GMT 2025","passed","Sun Jul 13 05:16:40 GMT 2025","TestUserGet","test_user_get","",""
"Test for checking correct User Agent identification","976","test_user_agent_check[Mozilla/5.0 (Linux; U; Android 4.0.2; en-us; Galaxy Nexus Build/ICL53F) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30-expected_values0]","tests","Sun Jul 13 05:15:57 GMT 2025","passed","Sun Jul 13 05:15:58 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks user registration with a very long name","1091","test_create_user_with_long_name","tests","Sun Jul 13 05:16:52 GMT 2025","passed","Sun Jul 13 05:16:53 GMT 2025","TestUserRegister","test_user_register","",""
"This test verifies the retrieval of user details without authentication","1251","test_get_user_details_not_auth","tests","Sun Jul 13 05:16:37 GMT 2025","passed","Sun Jul 13 05:16:38 GMT 2025","TestUserGet","test_user_get","",""
"This test checks the inability to change user email to an invalid one","2980","test_edit_user_invalid_email","tests","Sun Jul 13 05:16:31 GMT 2025","passed","Sun Jul 13 05:16:34 GMT 2025","TestUserEdit","test_user_edit","",""
"This test checks the inability to edit a user when authorized as another user","5323","test_edit_user_authorized_as_another_user","tests","Sun Jul 13 05:16:26 GMT 2025","skipped","Sun Jul 13 05:16:31 GMT 2025","TestUserEdit","test_user_edit","",""
"This test checks user registration with an incorrect email w/o '@'","1086","test_create_user_with_invalid_email","tests","Sun Jul 13 05:16:44 GMT 2025","passed","Sun Jul 13 05:16:45 GMT 2025","TestUserRegister","test_user_register","",""
"Final test to check if there were any identification errors for User Agents","0","test_summary","tests","Sun Jul 13 05:16:04 GMT 2025","skipped","Sun Jul 13 05:16:04 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks for the presence of a specific cookie","580","test_cookie","tests","Sun Jul 13 05:15:54 GMT 2025","passed","Sun Jul 13 05:15:55 GMT 2025","TestUserAuth","test_user_auth","",""
