"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks user registration without one of the fields","1025","test_create_user_without_field[lastName]","tests","Wed Nov 13 05:10:05 GMT 2024","passed","Wed Nov 13 05:10:06 GMT 2024","TestUserRegister","test_user_register","",""
"This test checks the registration of a user with an already existing email","1070","test_create_user_with_existing_email","tests","Wed Nov 13 05:09:59 GMT 2024","passed","Wed Nov 13 05:10:00 GMT 2024","TestUserRegister","test_user_register","",""
"This test verifies the ability to edit a user after their registration","3837","test_edit_just_created_user","tests","Wed Nov 13 05:09:36 GMT 2024","passed","Wed Nov 13 05:09:40 GMT 2024","TestUserEdit","test_user_edit","",""
"This test verifies retrieval of another user's details after authenticating","1724","test_get_another_user_data_after_auth","tests","Wed Nov 13 05:09:56 GMT 2024","passed","Wed Nov 13 05:09:58 GMT 2024","TestUserGet","test_user_get","",""
"Test for checking correct User Agent identification","527","test_user_agent_check[Mozilla/5.0 (iPad; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1-expected_values4]","tests","Wed Nov 13 05:09:25 GMT 2024","passed","Wed Nov 13 05:09:25 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks user registration without one of the fields","1058","test_create_user_without_field[firstName]","tests","Wed Nov 13 05:10:04 GMT 2024","passed","Wed Nov 13 05:10:05 GMT 2024","TestUserRegister","test_user_register","",""
"This test successfully authorize user by email and password","851","test_auth_user","tests","Wed Nov 13 05:09:13 GMT 2024","passed","Wed Nov 13 05:09:14 GMT 2024","TestUserAuth","test_user_auth","",""
"Test for checking correct User Agent identification","557","test_user_agent_check[Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.100.0-expected_values3]","tests","Wed Nov 13 05:09:24 GMT 2024","passed","Wed Nov 13 05:09:24 GMT 2024","TestUserAuth","test_user_auth","",""
"This test checks the inability to change user email to an invalid one","2802","test_edit_user_invalid_email","tests","Wed Nov 13 05:09:47 GMT 2024","passed","Wed Nov 13 05:09:50 GMT 2024","TestUserEdit","test_user_edit","",""
"Test for checking correct User Agent identification","511","test_user_agent_check[Mozilla/5.0 (iPad; CPU OS 13_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/91.0.4472.77 Mobile/15E148 Safari/604.1-expected_values1]","tests","Wed Nov 13 05:09:22 GMT 2024","passed","Wed Nov 13 05:09:22 GMT 2024","TestUserAuth","test_user_auth","",""
"This test verifies that user with ID 2 can't be deleted","1682","test_delete_user_2","tests","Wed Nov 13 05:09:26 GMT 2024","passed","Wed Nov 13 05:09:28 GMT 2024","TestUserDelete","test_user_delete","",""
"This test checks user registration with a very short name","1060","test_create_user_with_short_name","tests","Wed Nov 13 05:10:06 GMT 2024","passed","Wed Nov 13 05:10:07 GMT 2024","TestUserRegister","test_user_register","",""
