"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks user registration without one of the fields","1074","test_create_user_without_field[password]","tests","Thu Apr 17 21:21:15 GMT 2025","passed","Thu Apr 17 21:21:16 GMT 2025","TestUserRegister","test_user_register","",""
"This test checks the inability to change user email to an invalid one","2886","test_edit_user_invalid_email","tests","Thu Apr 17 21:21:00 GMT 2025","passed","Thu Apr 17 21:21:03 GMT 2025","TestUserEdit","test_user_edit","",""
"This test verifies that user with ID 2 can't be deleted","1791","test_delete_user_2","tests","Thu Apr 17 21:20:36 GMT 2025","passed","Thu Apr 17 21:20:38 GMT 2025","TestUserDelete","test_user_delete","",""
"This test checks user registration with a very short name","1076","test_create_user_with_short_name","tests","Thu Apr 17 21:21:19 GMT 2025","passed","Thu Apr 17 21:21:20 GMT 2025","TestUserRegister","test_user_register","",""
"This test checks the inability to edit a user when authorized as another user","5414","test_edit_user_authorized_as_another_user","tests","Thu Apr 17 21:20:54 GMT 2025","skipped","Thu Apr 17 21:21:00 GMT 2025","TestUserEdit","test_user_edit","",""
"Test for checking correct User Agent identification","569","test_user_agent_check[Mozilla/5.0 (iPad; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1-expected_values4]","tests","Thu Apr 17 21:20:35 GMT 2025","passed","Thu Apr 17 21:20:36 GMT 2025","TestUserAuth","test_user_auth","",""
"This test successfully authorize user by email and password","920","test_auth_user","tests","Thu Apr 17 21:20:22 GMT 2025","passed","Thu Apr 17 21:20:23 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks for the presence of a specific cookie","554","test_cookie","tests","Thu Apr 17 21:20:28 GMT 2025","passed","Thu Apr 17 21:20:28 GMT 2025","TestUserAuth","test_user_auth","",""
"This test verifies that one user cannot delete another user","5528","test_delete_user_authorized_as_another_user","tests","Thu Apr 17 21:20:43 GMT 2025","passed","Thu Apr 17 21:20:48 GMT 2025","TestUserDelete","test_user_delete","",""
"This test checks user registration with a very long name","1083","test_create_user_with_long_name","tests","Thu Apr 17 21:21:20 GMT 2025","passed","Thu Apr 17 21:21:21 GMT 2025","TestUserRegister","test_user_register","",""
"This test checks user registration with an incorrect email w/o '@'","1075","test_create_user_with_invalid_email","tests","Thu Apr 17 21:21:13 GMT 2025","passed","Thu Apr 17 21:21:14 GMT 2025","TestUserRegister","test_user_register","",""
"This test checks user registration without one of the fields","1080","test_create_user_without_field[lastName]","tests","Thu Apr 17 21:21:18 GMT 2025","passed","Thu Apr 17 21:21:19 GMT 2025","TestUserRegister","test_user_register","",""
"This test check authorization status w/o sending auth cookie or token","902","test_negative_auth_check[no_cookie]","tests","Thu Apr 17 21:20:24 GMT 2025","passed","Thu Apr 17 21:20:25 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks the inability to change user first name to a very short value","2880","test_edit_user_short_first_name","tests","Thu Apr 17 21:21:03 GMT 2025","passed","Thu Apr 17 21:21:06 GMT 2025","TestUserEdit","test_user_edit","",""
"This test verifies that a user can be created successfully","1072","test_create_user_successfully","tests","Thu Apr 17 21:21:10 GMT 2025","passed","Thu Apr 17 21:21:11 GMT 2025","TestUserRegister","test_user_register","",""
"This test verifies the retrieval of user details after authenticating as that user","1834","test_get_user_details_auth_as_same_user","tests","Thu Apr 17 21:21:07 GMT 2025","passed","Thu Apr 17 21:21:09 GMT 2025","TestUserGet","test_user_get","",""
"This test checks the inability to edit a user when unauthorized","2317","test_edit_user_unauthorized","tests","Thu Apr 17 21:20:52 GMT 2025","failed","Thu Apr 17 21:20:54 GMT 2025","TestUserEdit","test_user_edit","",""
"This test checks user registration without one of the fields","1088","test_create_user_without_field[username]","tests","Thu Apr 17 21:21:14 GMT 2025","passed","Thu Apr 17 21:21:15 GMT 2025","TestUserRegister","test_user_register","",""
"This test verifies the ability to edit a user after their registration","3935","test_edit_just_created_user","tests","Thu Apr 17 21:20:48 GMT 2025","passed","Thu Apr 17 21:20:52 GMT 2025","TestUserEdit","test_user_edit","",""
"This test verifies the retrieval of user details without authentication","1215","test_get_user_details_not_auth","tests","Thu Apr 17 21:21:06 GMT 2025","passed","Thu Apr 17 21:21:07 GMT 2025","TestUserGet","test_user_get","",""
"Test for checking correct User Agent identification","555","test_user_agent_check[Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36 Edg/91.0.100.0-expected_values3]","tests","Thu Apr 17 21:20:34 GMT 2025","passed","Thu Apr 17 21:20:35 GMT 2025","TestUserAuth","test_user_auth","",""
