"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test checks the inability to edit a user when unauthorized","2066","test_edit_user_unauthorized","tests","Wed Jul 02 05:16:03 GMT 2025","failed","Wed Jul 02 05:16:05 GMT 2025","TestUserEdit","test_user_edit","",""
"This test verifies that a user can be created successfully","950","test_create_user_successfully","tests","Wed Jul 02 05:16:19 GMT 2025","passed","Wed Jul 02 05:16:20 GMT 2025","TestUserRegister","test_user_register","",""
"This test successfully authorize user by email and password","1008","test_auth_user","tests","Wed Jul 02 05:15:37 GMT 2025","passed","Wed Jul 02 05:15:38 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks the inability to change user email to an invalid one","2514","test_edit_user_invalid_email","tests","Wed Jul 02 05:16:09 GMT 2025","passed","Wed Jul 02 05:16:12 GMT 2025","TestUserEdit","test_user_edit","",""
"Test for checking correct User Agent identification","735","test_user_agent_check[Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)-expected_values2]","tests","Wed Jul 02 05:15:46 GMT 2025","passed","Wed Jul 02 05:15:47 GMT 2025","TestUserAuth","test_user_auth","",""
"This test checks the inability to change user first name to a very short value","2561","test_edit_user_short_first_name","tests","Wed Jul 02 05:16:12 GMT 2025","passed","Wed Jul 02 05:16:15 GMT 2025","TestUserEdit","test_user_edit","",""
"This test checks user registration without one of the fields","950","test_create_user_without_field[username]","tests","Wed Jul 02 05:16:22 GMT 2025","passed","Wed Jul 02 05:16:23 GMT 2025","TestUserRegister","test_user_register","",""
"This test check authorization status w/o sending auth cookie or token","898","test_negative_auth_check[no_token]","tests","Wed Jul 02 05:15:40 GMT 2025","passed","Wed Jul 02 05:15:41 GMT 2025","TestUserAuth","test_user_auth","",""
"This test verifies that one user cannot delete another user","4593","test_delete_user_authorized_as_another_user","tests","Wed Jul 02 05:15:54 GMT 2025","passed","Wed Jul 02 05:15:59 GMT 2025","TestUserDelete","test_user_delete","",""
"Test for checking correct User Agent identification","431","test_user_agent_check[Mozilla/5.0 (iPad; CPU OS 13_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/91.0.4472.77 Mobile/15E148 Safari/604.1-expected_values1]","tests","Wed Jul 02 05:15:45 GMT 2025","passed","Wed Jul 02 05:15:45 GMT 2025","TestUserAuth","test_user_auth","",""
